 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3144184,0.07560545,-0.4385329,-0.5204344,-0.3567983
0.3144194,0.07560644,-0.435775,-0.5176385,-0.3540769
0.3144207,0.07560775,-0.4330203,-0.5148462,-0.3513584
0.3144213,0.07560795,-0.430269,-0.5120575,-0.348643
0.3144251,0.07560825,-0.4275209,-0.5092724,-0.3459305
0.3144263,0.07561183,-0.424776,-0.5064907,-0.343221
0.3144268,0.07561185,-0.4220343,-0.5037126,-0.3405143
0.314429,0.07561199,-0.4192958,-0.500938,-0.3378106
0.3144314,0.0756132,-0.4165604,-0.4981668,-0.3351097
0.3144317,0.07561365,-0.4138281,-0.495399,-0.3324116
0.3144323,0.0756141,-0.4110989,-0.4926345,-0.3297163
0.3144324,0.07561467,-0.4083728,-0.4898735,-0.3270238
0.3144338,0.07561992,-0.4056497,-0.4871157,-0.3243341
0.3144339,0.07562003,-0.4029296,-0.4843612,-0.3216471
0.3144342,0.07562153,-0.4002125,-0.48161,-0.3189627
0.3144343,0.07562173,-0.3974984,-0.4788621,-0.3162811
0.3144344,0.07562197,-0.3947871,-0.4761173,-0.3136021
0.3144345,0.07562401,-0.3920788,-0.4733757,-0.3109257
0.3144347,0.07562416,-0.3893733,-0.4706373,-0.308252
0.3144379,0.07562435,-0.3866707,-0.467902,-0.3055808
0.314438,0.07562531,-0.3839709,-0.4651698,-0.3029121
0.314439,0.0756268,-0.3812739,-0.4624406,-0.300246
0.3144391,0.07563346,-0.3785797,-0.4597145,-0.2975824
